case,Test_ID,theta1,theta2,Pt,type,panel_a_in,panel_b_in,source_dataset,source_test_id,csv_path
Case3,6x8_058,82.0,19.0,6990.421326106947,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_058,data/New_Data/csv_6x8_Case3/force_disp_Test_058.csv
Case3,6x8_059,14.0,3.0,4721.089115915396,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_059,data/New_Data/csv_6x8_Case3/force_disp_Test_059.csv
Case3,6x8_060,44.0,-84.0,8518.496274441966,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_060,data/New_Data/csv_6x8_Case3/force_disp_Test_060.csv
Case3,6x8_061,0.0,-52.0,6986.884563563323,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_061,data/New_Data/csv_6x8_Case3/force_disp_Test_061.csv
Case3,6x8_062,33.0,26.0,7828.853848038589,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_062,data/New_Data/csv_6x8_Case3/force_disp_Test_062.csv
Case3,6x8_063,-75.0,38.0,8564.10510985636,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_063,data/New_Data/csv_6x8_Case3/force_disp_Test_063.csv
Case3,6x8_064,-20.0,55.0,7891.335126607133,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_064,data/New_Data/csv_6x8_Case3/force_disp_Test_064.csv
Case3,6x8_065,72.0,31.0,8228.556080062759,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_065,data/New_Data/csv_6x8_Case3/force_disp_Test_065.csv
Case3,6x8_066,75.0,72.0,5369.6245566530315,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_066,data/New_Data/csv_6x8_Case3/force_disp_Test_066.csv
Case3,6x8_067,-83.0,68.0,5037.133195018236,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_067,data/New_Data/csv_6x8_Case3/force_disp_Test_067.csv
Case3,6x8_068,-26.0,-1.0,5677.412801135068,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_068,data/New_Data/csv_6x8_Case3/force_disp_Test_068.csv
Case3,6x8_069,-36.0,57.0,9272.518168259172,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_069,data/New_Data/csv_6x8_Case3/force_disp_Test_069.csv
Case3,6x8_070,-89.0,-51.0,8249.701067765836,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_070,data/New_Data/csv_6x8_Case3/force_disp_Test_070.csv
Case3,6x8_071,-45.0,-29.0,8588.500874257914,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_071,data/New_Data/csv_6x8_Case3/force_disp_Test_071.csv
Case3,6x8_072,-29.0,13.0,6421.020342466547,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_072,data/New_Data/csv_6x8_Case3/force_disp_Test_072.csv
Case3,6x8_073,-22.0,46.0,7991.318059068361,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_073,data/New_Data/csv_6x8_Case3/force_disp_Test_073.csv
Case3,6x8_074,-1.0,-8.0,4458.615577910378,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_074,data/New_Data/csv_6x8_Case3/force_disp_Test_074.csv
Case3,6x8_075,-22.0,82.0,7138.576514473828,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_075,data/New_Data/csv_6x8_Case3/force_disp_Test_075.csv
Case3,6x8_076,50.0,5.0,7036.320129332741,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_076,data/New_Data/csv_6x8_Case3/force_disp_Test_076.csv
Case3,6x8_077,-64.0,20.0,7730.400520896431,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_077,data/New_Data/csv_6x8_Case3/force_disp_Test_077.csv
Case3,6x8_078,29.0,-79.0,7810.785798508536,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_078,data/New_Data/csv_6x8_Case3/force_disp_Test_078.csv
Case3,6x8_079,-67.0,39.0,9028.989566253744,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_079,data/New_Data/csv_6x8_Case3/force_disp_Test_079.csv
Case3,6x8_080,-53.0,-64.0,10111.146711082843,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_080,data/New_Data/csv_6x8_Case3/force_disp_Test_080.csv
Case3,6x8_081,-38.0,-72.0,8680.800592914631,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_081,data/New_Data/csv_6x8_Case3/force_disp_Test_081.csv
Case3,6x8_082,85.0,48.0,8578.513992319487,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_082,data/New_Data/csv_6x8_Case3/force_disp_Test_082.csv
Case3,6x8_083,-12.0,85.0,6463.958490693491,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_083,data/New_Data/csv_6x8_Case3/force_disp_Test_083.csv
Case3,6x8_084,77.0,-48.0,8906.27660502941,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_084,data/New_Data/csv_6x8_Case3/force_disp_Test_084.csv
Case3,6x8_085,45.0,75.0,8900.982015934325,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_085,data/New_Data/csv_6x8_Case3/force_disp_Test_085.csv
Case3,6x8_086,-41.0,-54.0,9852.83434575456,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_086,data/New_Data/csv_6x8_Case3/force_disp_Test_086.csv
Case3,6x8_087,-38.0,89.0,8149.316952421689,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_087,data/New_Data/csv_6x8_Case3/force_disp_Test_087.csv
Case3,6x8_088,23.0,33.0,7564.757786761533,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_088,data/New_Data/csv_6x8_Case3/force_disp_Test_088.csv
Case3,6x8_089,18.0,-35.0,7100.982621180198,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_089,data/New_Data/csv_6x8_Case3/force_disp_Test_089.csv
Case3,6x8_090,-65.0,24.0,7982.342931067636,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_090,data/New_Data/csv_6x8_Case3/force_disp_Test_090.csv
Case3,6x8_091,11.0,36.0,6627.652973903583,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_091,data/New_Data/csv_6x8_Case3/force_disp_Test_091.csv
Case3,6x8_092,-38.0,-40.0,9785.012728640324,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_092,data/New_Data/csv_6x8_Case3/force_disp_Test_092.csv
Case3,6x8_093,-70.0,-78.0,5159.2463290288115,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_093,data/New_Data/csv_6x8_Case3/force_disp_Test_093.csv
Case3,6x8_094,73.0,-55.0,8508.131886261093,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_094,data/New_Data/csv_6x8_Case3/force_disp_Test_094.csv
Case3,6x8_095,68.0,-30.0,8333.378532982306,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_095,data/New_Data/csv_6x8_Case3/force_disp_Test_095.csv
Case3,6x8_096,84.0,-52.0,8166.172607527085,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_096,data/New_Data/csv_6x8_Case3/force_disp_Test_096.csv
Case3,6x8_097,-46.0,-23.0,7992.970352737475,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_097,data/New_Data/csv_6x8_Case3/force_disp_Test_097.csv
Case3,6x8_098,-1.0,36.0,6410.375303854675,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_098,data/New_Data/csv_6x8_Case3/force_disp_Test_098.csv
Case3,6x8_099,90.0,40.0,8274.295847250927,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_099,data/New_Data/csv_6x8_Case3/force_disp_Test_099.csv
Case3,6x8_100,69.0,62.0,7118.9463313999,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_100,data/New_Data/csv_6x8_Case3/force_disp_Test_100.csv
Case3,6x8_101,48.0,15.0,7432.226229484006,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_101,data/New_Data/csv_6x8_Case3/force_disp_Test_101.csv
Case3,6x8_102,76.0,-24.0,7564.618010245786,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_102,data/New_Data/csv_6x8_Case3/force_disp_Test_102.csv
Case3,6x8_103,66.0,14.0,7184.262851352114,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_103,data/New_Data/csv_6x8_Case3/force_disp_Test_103.csv
Case3,6x8_104,83.0,3.0,6092.318340201479,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_104,data/New_Data/csv_6x8_Case3/force_disp_Test_104.csv
Case3,6x8_105,89.0,-77.0,3805.380473736686,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_105,data/New_Data/csv_6x8_Case3/force_disp_Test_105.csv
Case3,6x8_106,-12.0,43.0,7094.357934988239,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_106,data/New_Data/csv_6x8_Case3/force_disp_Test_106.csv
Case3,6x8_107,69.0,8.0,6730.974926442521,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_107,data/New_Data/csv_6x8_Case3/force_disp_Test_107.csv
Case3,6x8_108,46.0,-72.0,9122.564574484604,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_108,data/New_Data/csv_6x8_Case3/force_disp_Test_108.csv
Case3,6x8_109,-69.0,17.0,7271.130594758279,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_109,data/New_Data/csv_6x8_Case3/force_disp_Test_109.csv
Case3,6x8_110,-51.0,1.0,6995.620333105884,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_110,data/New_Data/csv_6x8_Case3/force_disp_Test_110.csv
Case3,6x8_111,7.0,87.0,6249.152885527738,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_111,data/New_Data/csv_6x8_Case3/force_disp_Test_111.csv
Case3,6x8_112,21.0,-8.0,5371.162629558365,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_112,data/New_Data/csv_6x8_Case3/force_disp_Test_112.csv
Case3,6x8_113,35.0,-2.0,6318.030640230154,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_113,data/New_Data/csv_6x8_Case3/force_disp_Test_113.csv
Case3,6x8_114,-35.0,-78.0,8222.349213646074,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_114,data/New_Data/csv_6x8_Case3/force_disp_Test_114.csv
Case3,6x8_115,22.0,74.0,7445.467270484865,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_115,data/New_Data/csv_6x8_Case3/force_disp_Test_115.csv
Case3,6x8_116,12.0,-85.0,6465.063323678779,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_116,data/New_Data/csv_6x8_Case3/force_disp_Test_116.csv
Case3,6x8_117,-87.0,33.0,7847.524023385839,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_117,data/New_Data/csv_6x8_Case3/force_disp_Test_117.csv
Case3,6x8_118,54.0,-88.0,7423.67117461338,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_118,data/New_Data/csv_6x8_Case3/force_disp_Test_118.csv
Case3,6x8_119,31.0,-10.0,6210.350260559193,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_119,data/New_Data/csv_6x8_Case3/force_disp_Test_119.csv
Case3,6x8_120,-58.0,-26.0,8283.694255242888,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_120,data/New_Data/csv_6x8_Case3/force_disp_Test_120.csv
Case3,6x8_121,-50.0,14.0,7345.364184301592,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_121,data/New_Data/csv_6x8_Case3/force_disp_Test_121.csv
Case3,6x8_122,20.0,-73.0,7393.279409982616,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_122,data/New_Data/csv_6x8_Case3/force_disp_Test_122.csv
Case3,6x8_123,76.0,4.0,6354.458186437243,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_123,data/New_Data/csv_6x8_Case3/force_disp_Test_123.csv
Case3,6x8_124,42.0,-66.0,9281.094673504855,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_124,data/New_Data/csv_6x8_Case3/force_disp_Test_124.csv
Case3,6x8_125,-3.0,72.0,6524.992565918011,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_125,data/New_Data/csv_6x8_Case3/force_disp_Test_125.csv
Case3,6x8_126,-8.0,18.0,5232.978617811867,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_126,data/New_Data/csv_6x8_Case3/force_disp_Test_126.csv
Case3,6x8_127,-66.0,77.0,5823.02316160585,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_127,data/New_Data/csv_6x8_Case3/force_disp_Test_127.csv
Case3,6x8_128,59.0,-70.0,7556.256506674854,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_128,data/New_Data/csv_6x8_Case3/force_disp_Test_128.csv
Case3,6x8_129,24.0,11.0,5787.35396635674,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_129,data/New_Data/csv_6x8_Case3/force_disp_Test_129.csv
Case3,6x8_130,-59.0,12.0,7265.771721117012,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_130,data/New_Data/csv_6x8_Case3/force_disp_Test_130.csv
Case3,6x8_131,41.0,53.0,9893.351128859907,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_131,data/New_Data/csv_6x8_Case3/force_disp_Test_131.csv
Case3,6x8_132,38.0,35.0,9260.239153875234,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_132,data/New_Data/csv_6x8_Case3/force_disp_Test_132.csv
Case3,6x8_133,-21.0,37.0,7573.1538247700055,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_133,data/New_Data/csv_6x8_Case3/force_disp_Test_133.csv
Case3,6x8_134,-56.0,37.0,9358.531050478816,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_134,data/New_Data/csv_6x8_Case3/force_disp_Test_134.csv
Case3,6x8_135,39.0,-76.0,8590.93301384347,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_135,data/New_Data/csv_6x8_Case3/force_disp_Test_135.csv
Case3,6x8_136,8.0,-68.0,6874.274104496997,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_136,data/New_Data/csv_6x8_Case3/force_disp_Test_136.csv
Case3,6x8_137,68.0,53.0,9757.606540082235,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_137,data/New_Data/csv_6x8_Case3/force_disp_Test_137.csv
Case3,6x8_138,-28.0,-75.0,7885.83162693426,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_138,data/New_Data/csv_6x8_Case3/force_disp_Test_138.csv
Case3,6x8_139,-52.0,-36.0,9395.251857996369,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_139,data/New_Data/csv_6x8_Case3/force_disp_Test_139.csv
Case3,6x8_140,1.0,-3.0,11666.361419880124,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_140,data/New_Data/csv_6x8_Case3/force_disp_Test_140.csv
Case3,6x8_141,79.0,49.0,8807.6106030903,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_141,data/New_Data/csv_6x8_Case3/force_disp_Test_141.csv
Case3,6x8_142,56.0,10.0,7242.904118561144,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_142,data/New_Data/csv_6x8_Case3/force_disp_Test_142.csv
Case3,6x8_143,39.0,-35.0,9348.97346229211,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_143,data/New_Data/csv_6x8_Case3/force_disp_Test_143.csv
Case3,6x8_144,-86.0,-39.0,8245.2091005155,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_144,data/New_Data/csv_6x8_Case3/force_disp_Test_144.csv
Case3,6x8_145,29.0,32.0,8213.725370626771,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_145,data/New_Data/csv_6x8_Case3/force_disp_Test_145.csv
Case3,6x8_146,-41.0,-28.0,8429.968634122459,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_146,data/New_Data/csv_6x8_Case3/force_disp_Test_146.csv
Case3,6x8_147,47.0,23.0,7997.955129695263,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_147,data/New_Data/csv_6x8_Case3/force_disp_Test_147.csv
Case3,6x8_148,46.0,-62.0,9783.137497338115,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_148,data/New_Data/csv_6x8_Case3/force_disp_Test_148.csv
Case3,6x8_149,24.0,-59.0,8155.214235977045,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_149,data/New_Data/csv_6x8_Case3/force_disp_Test_149.csv
Case3,6x8_150,15.0,-47.0,7446.097303996584,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_150,data/New_Data/csv_6x8_Case3/force_disp_Test_150.csv
Case3,6x8_151,-66.0,-82.0,5373.7745298167065,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_151,data/New_Data/csv_6x8_Case3/force_disp_Test_151.csv
Case3,6x8_152,-23.0,-66.0,7800.064742828617,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_152,data/New_Data/csv_6x8_Case3/force_disp_Test_152.csv
Case3,6x8_153,50.0,-62.0,10092.907418373728,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_153,data/New_Data/csv_6x8_Case3/force_disp_Test_153.csv
Case3,6x8_154,-65.0,-65.0,7118.58233050215,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_154,data/New_Data/csv_6x8_Case3/force_disp_Test_154.csv
Case3,6x8_155,11.0,-32.0,6456.77124940812,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_155,data/New_Data/csv_6x8_Case3/force_disp_Test_155.csv
Case3,6x8_156,70.0,-86.0,4628.682805172048,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_156,data/New_Data/csv_6x8_Case3/force_disp_Test_156.csv
Case3,6x8_157,78.0,-26.0,7605.588560620867,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_157,data/New_Data/csv_6x8_Case3/force_disp_Test_157.csv
Case3,6x8_158,17.0,-43.0,7452.457229851058,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_158,data/New_Data/csv_6x8_Case3/force_disp_Test_158.csv
Case3,6x8_159,-9.0,-4.0,4267.5360078672375,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_159,data/New_Data/csv_6x8_Case3/force_disp_Test_159.csv
Case3,6x8_160,47.0,-13.0,7323.676722964833,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_160,data/New_Data/csv_6x8_Case3/force_disp_Test_160.csv
Case3,6x8_161,-43.0,-45.0,10526.70491771137,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_161,data/New_Data/csv_6x8_Case3/force_disp_Test_161.csv
Case3,6x8_162,-71.0,-11.0,6913.468759873402,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_162,data/New_Data/csv_6x8_Case3/force_disp_Test_162.csv
Case3,6x8_163,-84.0,28.0,7573.259908729455,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_163,data/New_Data/csv_6x8_Case3/force_disp_Test_163.csv
Case3,6x8_164,-16.0,-5.0,5049.757238613182,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_164,data/New_Data/csv_6x8_Case3/force_disp_Test_164.csv
Case3,6x8_165,-5.0,10.0,4616.933906948276,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_165,data/New_Data/csv_6x8_Case3/force_disp_Test_165.csv
Case3,6x8_166,-61.0,-3.0,6983.137187310844,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_166,data/New_Data/csv_6x8_Case3/force_disp_Test_166.csv
Case3,6x8_167,-4.0,-6.0,4475.429064875118,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_167,data/New_Data/csv_6x8_Case3/force_disp_Test_167.csv
Case3,6x8_168,-5.0,-1.0,11596.198175792388,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_168,data/New_Data/csv_6x8_Case3/force_disp_Test_168.csv
Case3,6x8_169,58.0,-70.0,7739.77926808732,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_169,data/New_Data/csv_6x8_Case3/force_disp_Test_169.csv
Case3,6x8_170,-35.0,-50.0,9307.513992774922,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_170,data/New_Data/csv_6x8_Case3/force_disp_Test_170.csv
Case3,6x8_171,-6.0,-18.0,5089.866871509018,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_171,data/New_Data/csv_6x8_Case3/force_disp_Test_171.csv
Case3,6x8_172,-68.0,5.0,6753.878220615981,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_172,data/New_Data/csv_6x8_Case3/force_disp_Test_172.csv
Case3,6x8_173,82.0,-55.0,7472.678202325305,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_173,data/New_Data/csv_6x8_Case3/force_disp_Test_173.csv
Case3,6x8_174,-76.0,51.0,9047.427144463363,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_174,data/New_Data/csv_6x8_Case3/force_disp_Test_174.csv
Case3,6x8_175,-73.0,85.0,4298.767565050063,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_175,data/New_Data/csv_6x8_Case3/force_disp_Test_175.csv
Case3,6x8_176,-36.0,30.0,8548.896667769483,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_176,data/New_Data/csv_6x8_Case3/force_disp_Test_176.csv
Case3,6x8_177,25.0,-81.0,7423.009736441361,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_177,data/New_Data/csv_6x8_Case3/force_disp_Test_177.csv
Case3,6x8_178,27.0,63.0,8265.42436139755,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_178,data/New_Data/csv_6x8_Case3/force_disp_Test_178.csv
Case3,6x8_179,73.0,-44.0,8955.63071410123,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_179,data/New_Data/csv_6x8_Case3/force_disp_Test_179.csv
Case3,6x8_180,-14.0,88.0,6545.629000487574,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_180,data/New_Data/csv_6x8_Case3/force_disp_Test_180.csv
Case3,6x8_181,88.0,45.0,8451.107427438883,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_181,data/New_Data/csv_6x8_Case3/force_disp_Test_181.csv
Case3,6x8_182,-14.0,42.0,7194.064545145668,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_182,data/New_Data/csv_6x8_Case3/force_disp_Test_182.csv
Case3,6x8_183,37.0,63.0,9058.052443052731,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_183,data/New_Data/csv_6x8_Case3/force_disp_Test_183.csv
Case3,6x8_184,83.0,43.0,8463.30543035326,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_184,data/New_Data/csv_6x8_Case3/force_disp_Test_184.csv
Case3,6x8_185,-18.0,49.0,7673.002966797708,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_185,data/New_Data/csv_6x8_Case3/force_disp_Test_185.csv
Case3,6x8_186,-54.0,1.0,6935.904182205977,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_186,data/New_Data/csv_6x8_Case3/force_disp_Test_186.csv
Case3,6x8_187,-47.0,-37.0,9606.501330315676,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_187,data/New_Data/csv_6x8_Case3/force_disp_Test_187.csv
Case3,6x8_188,-40.0,56.0,9675.16863801265,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_188,data/New_Data/csv_6x8_Case3/force_disp_Test_188.csv
Case3,6x8_189,34.0,0.0,6261.329657585698,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_189,data/New_Data/csv_6x8_Case3/force_disp_Test_189.csv
Case3,6x8_190,-80.0,40.0,8422.872777840304,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_190,data/New_Data/csv_6x8_Case3/force_disp_Test_190.csv
Case3,6x8_191,-75.0,6.0,6422.412645482792,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_191,data/New_Data/csv_6x8_Case3/force_disp_Test_191.csv
Case3,6x8_192,89.0,-86.0,3263.2384852150544,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_192,data/New_Data/csv_6x8_Case3/force_disp_Test_192.csv
Case3,6x8_193,48.0,41.0,10138.970888222835,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_193,data/New_Data/csv_6x8_Case3/force_disp_Test_193.csv
Case3,6x8_194,-11.0,-16.0,5228.982367353595,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_194,data/New_Data/csv_6x8_Case3/force_disp_Test_194.csv
Case3,6x8_195,12.0,71.0,6943.969177304097,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_195,data/New_Data/csv_6x8_Case3/force_disp_Test_195.csv
Case3,6x8_196,-32.0,84.0,7819.0313174857465,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_196,data/New_Data/csv_6x8_Case3/force_disp_Test_196.csv
Case3,6x8_197,-80.0,-38.0,8318.639383663185,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_197,data/New_Data/csv_6x8_Case3/force_disp_Test_197.csv
Case3,6x8_198,-82.0,-53.0,8013.239517912473,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_198,data/New_Data/csv_6x8_Case3/force_disp_Test_198.csv
Case3,6x8_199,-45.0,82.0,8572.529269237422,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_199,data/New_Data/csv_6x8_Case3/force_disp_Test_199.csv
Case3,6x8_200,88.0,-42.0,8369.427687454398,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_200,data/New_Data/csv_6x8_Case3/force_disp_Test_200.csv
Case3,6x8_201,-73.0,-27.0,7833.200873076521,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_201,data/New_Data/csv_6x8_Case3/force_disp_Test_201.csv
Case3,6x8_202,-24.0,-76.0,7562.042931729598,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_202,data/New_Data/csv_6x8_Case3/force_disp_Test_202.csv
Case3,6x8_203,33.0,58.0,8922.736624749012,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_203,data/New_Data/csv_6x8_Case3/force_disp_Test_203.csv
Case3,6x8_204,27.0,-22.0,7045.469380476001,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_204,data/New_Data/csv_6x8_Case3/force_disp_Test_204.csv
Case3,6x8_205,-58.0,-50.0,10472.657888161299,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_205,data/New_Data/csv_6x8_Case3/force_disp_Test_205.csv
Case3,6x8_206,4.0,90.0,6074.178893100809,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_206,data/New_Data/csv_6x8_Case3/force_disp_Test_206.csv
Case3,6x8_207,19.0,-83.0,6869.886997972456,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_207,data/New_Data/csv_6x8_Case3/force_disp_Test_207.csv
Case3,6x8_208,-87.0,47.0,8524.988985182688,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_208,data/New_Data/csv_6x8_Case3/force_disp_Test_208.csv
Case3,6x8_209,58.0,-69.0,7789.59403319423,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_209,data/New_Data/csv_6x8_Case3/force_disp_Test_209.csv
Case3,6x8_210,-10.0,23.0,5824.119094159258,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_210,data/New_Data/csv_6x8_Case3/force_disp_Test_210.csv
