case,Test_ID,theta1,theta2,Pt,type,panel_a_in,panel_b_in,source_dataset,source_test_id,csv_path,type_label_source,type_label_confidence,type_label_review_priority
Case3,6x8_240,53.0,26.0,8363.402857447778,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_240,data/New_Data/csv_6x8_Case3/force_disp_Test_240.csv,curve_classifier_pseudo_label,0.6666666666666666,high
Case3,6x8_241,13.0,6.0,4704.787468038525,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_241,data/New_Data/csv_6x8_Case3/force_disp_Test_241.csv,curve_classifier_pseudo_label,0.8833333333333333,low
Case3,6x8_242,-31.0,60.0,8739.001060592402,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_242,data/New_Data/csv_6x8_Case3/force_disp_Test_242.csv,curve_classifier_pseudo_label,0.7383333333333333,medium
Case3,6x8_243,-63.0,-63.0,7559.22667347828,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_243,data/New_Data/csv_6x8_Case3/force_disp_Test_243.csv,curve_classifier_pseudo_label,0.9666666666666667,low
Case3,6x8_244,85.0,-58.0,6607.7843090574115,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_244,data/New_Data/csv_6x8_Case3/force_disp_Test_244.csv,curve_classifier_pseudo_label,0.8383333333333334,medium
Case3,6x8_245,-34.0,-14.0,6785.684103409566,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_245,data/New_Data/csv_6x8_Case3/force_disp_Test_245.csv,curve_classifier_pseudo_label,0.6816666666666666,high
Case3,6x8_246,60.0,61.0,8105.285428792315,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_246,data/New_Data/csv_6x8_Case3/force_disp_Test_246.csv,curve_classifier_pseudo_label,0.99,low
Case3,6x8_247,-83.0,78.0,3927.089122401204,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_247,data/New_Data/csv_6x8_Case3/force_disp_Test_247.csv,curve_classifier_pseudo_label,0.655,high
Case3,6x8_248,6.0,27.0,5791.7739625133845,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_248,data/New_Data/csv_6x8_Case3/force_disp_Test_248.csv,curve_classifier_pseudo_label,0.83,medium
Case3,6x8_249,6.0,16.0,5014.305032626578,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_249,data/New_Data/csv_6x8_Case3/force_disp_Test_249.csv,curve_classifier_pseudo_label,0.8816666666666667,low
Case3,6x8_250,-47.0,64.0,9722.968671250654,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_250,data/New_Data/csv_6x8_Case3/force_disp_Test_250.csv,curve_classifier_pseudo_label,0.6366666666666667,high
Case3,6x8_251,-69.0,0.0,6711.061950537175,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_251,data/New_Data/csv_6x8_Case3/force_disp_Test_251.csv,curve_classifier_pseudo_label,0.6583333333333333,high
Case3,6x8_252,-82.0,-45.0,8573.790222531932,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_252,data/New_Data/csv_6x8_Case3/force_disp_Test_252.csv,curve_classifier_pseudo_label,0.49666666666666665,high
Case3,6x8_253,56.0,-34.0,9076.25692555082,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_253,data/New_Data/csv_6x8_Case3/force_disp_Test_253.csv,curve_classifier_pseudo_label,0.58,high
Case3,6x8_254,-75.0,-17.0,6985.666126218877,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_254,data/New_Data/csv_6x8_Case3/force_disp_Test_254.csv,curve_classifier_pseudo_label,0.6916666666666667,high
Case3,6x8_255,32.0,-60.0,8800.27444921991,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_255,data/New_Data/csv_6x8_Case3/force_disp_Test_255.csv,curve_classifier_pseudo_label,0.6766666666666666,high
Case3,6x8_256,-25.0,-11.0,5843.190840480883,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_256,data/New_Data/csv_6x8_Case3/force_disp_Test_256.csv,curve_classifier_pseudo_label,0.8566666666666667,low
Case3,6x8_257,65.0,80.0,5664.080186782016,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_257,data/New_Data/csv_6x8_Case3/force_disp_Test_257.csv,curve_classifier_pseudo_label,0.7866666666666666,medium
Case3,6x8_258,54.0,-18.0,7728.867450559708,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_258,data/New_Data/csv_6x8_Case3/force_disp_Test_258.csv,curve_classifier_pseudo_label,0.6983333333333334,high
Case3,6x8_259,-6.0,38.0,6503.150773829434,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_259,data/New_Data/csv_6x8_Case3/force_disp_Test_259.csv,curve_classifier_pseudo_label,0.675,high
Case3,6x8_260,-50.0,68.0,9567.899370040805,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_260,data/New_Data/csv_6x8_Case3/force_disp_Test_260.csv,curve_classifier_pseudo_label,0.7583333333333333,medium
Case3,6x8_261,-14.0,-28.0,6418.458738778324,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_261,data/New_Data/csv_6x8_Case3/force_disp_Test_261.csv,curve_classifier_pseudo_label,0.8166666666666667,medium
Case3,6x8_262,-57.0,76.0,7558.61398659881,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_262,data/New_Data/csv_6x8_Case3/force_disp_Test_262.csv,curve_classifier_pseudo_label,0.9633333333333334,low
Case3,6x8_263,-24.0,2.0,5479.198870742019,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_263,data/New_Data/csv_6x8_Case3/force_disp_Test_263.csv,curve_classifier_pseudo_label,0.8433333333333334,medium
Case3,6x8_264,87.0,-65.0,5305.039548140751,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_264,data/New_Data/csv_6x8_Case3/force_disp_Test_264.csv,curve_classifier_pseudo_label,0.8216666666666667,medium
Case3,6x8_265,-25.0,-84.0,7364.07269066722,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_265,data/New_Data/csv_6x8_Case3/force_disp_Test_265.csv,curve_classifier_pseudo_label,0.7433333333333333,medium
Case3,6x8_266,-26.0,-39.0,8088.4267124801745,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_266,data/New_Data/csv_6x8_Case3/force_disp_Test_266.csv,curve_classifier_pseudo_label,0.5533333333333333,high
Case3,6x8_267,-33.0,-46.0,9075.226822935181,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_267,data/New_Data/csv_6x8_Case3/force_disp_Test_267.csv,curve_classifier_pseudo_label,0.54,high
Case3,6x8_268,-59.0,29.0,8601.747044051053,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_268,data/New_Data/csv_6x8_Case3/force_disp_Test_268.csv,curve_classifier_pseudo_label,0.7433333333333333,medium
Case3,6x8_269,-60.0,60.0,8248.923787334112,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_269,data/New_Data/csv_6x8_Case3/force_disp_Test_269.csv,curve_classifier_pseudo_label,0.9966666666666667,low
Case3,6x8_270,10.0,76.0,6608.6895829612595,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_270,data/New_Data/csv_6x8_Case3/force_disp_Test_270.csv,curve_classifier_pseudo_label,0.8066666666666666,medium
Case3,6x8_271,-30.0,50.0,8791.8371612224,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_271,data/New_Data/csv_6x8_Case3/force_disp_Test_271.csv,curve_classifier_pseudo_label,0.68,high
Case3,6x8_272,72.0,69.0,5931.320371074177,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_272,data/New_Data/csv_6x8_Case3/force_disp_Test_272.csv,curve_classifier_pseudo_label,0.8116666666666666,medium
Case3,6x8_273,81.0,62.0,6071.882410835587,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_273,data/New_Data/csv_6x8_Case3/force_disp_Test_273.csv,curve_classifier_pseudo_label,0.79,medium
Case3,6x8_274,30.0,-25.0,7630.3017033136175,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_274,data/New_Data/csv_6x8_Case3/force_disp_Test_274.csv,curve_classifier_pseudo_label,0.5166666666666667,high
Case3,6x8_275,80.0,-20.0,7032.5052651227315,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_275,data/New_Data/csv_6x8_Case3/force_disp_Test_275.csv,curve_classifier_pseudo_label,0.715,medium
Case3,6x8_276,-88.0,70.0,4574.052525793893,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_276,data/New_Data/csv_6x8_Case3/force_disp_Test_276.csv,curve_classifier_pseudo_label,0.7333333333333333,medium
Case3,6x8_277,57.0,88.0,6725.494631969182,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_277,data/New_Data/csv_6x8_Case3/force_disp_Test_277.csv,curve_classifier_pseudo_label,0.7516666666666667,medium
Case3,6x8_278,18.0,78.0,6994.610887125247,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_278,data/New_Data/csv_6x8_Case3/force_disp_Test_278.csv,curve_classifier_pseudo_label,0.825,medium
Case3,6x8_279,-88.0,-89.0,3214.1430085500515,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_279,data/New_Data/csv_6x8_Case3/force_disp_Test_279.csv,curve_classifier_pseudo_label,0.5416666666666666,high
Case3,6x8_280,-31.0,-12.0,6447.859363591536,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_280,data/New_Data/csv_6x8_Case3/force_disp_Test_280.csv,curve_classifier_pseudo_label,0.7983333333333333,medium
Case3,6x8_281,-72.0,-17.0,7202.390950658451,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_281,data/New_Data/csv_6x8_Case3/force_disp_Test_281.csv,curve_classifier_pseudo_label,0.6916666666666667,high
Case3,6x8_282,25.0,-74.0,7661.928819118145,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_282,data/New_Data/csv_6x8_Case3/force_disp_Test_282.csv,curve_classifier_pseudo_label,0.77,medium
Case3,6x8_283,34.0,-21.0,7418.9342705987065,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_283,data/New_Data/csv_6x8_Case3/force_disp_Test_283.csv,curve_classifier_pseudo_label,0.49666666666666665,high
Case3,6x8_284,16.0,16.0,5666.968376549154,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_284,data/New_Data/csv_6x8_Case3/force_disp_Test_284.csv,curve_classifier_pseudo_label,0.875,low
Case3,6x8_285,-21.0,55.0,7927.092649356544,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_285,data/New_Data/csv_6x8_Case3/force_disp_Test_285.csv,curve_classifier_pseudo_label,0.8016666666666666,medium
Case3,6x8_286,40.0,-87.0,8307.12792888511,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_286,data/New_Data/csv_6x8_Case3/force_disp_Test_286.csv,curve_classifier_pseudo_label,0.5433333333333333,high
Case3,6x8_287,-77.0,22.0,7289.995661164521,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_287,data/New_Data/csv_6x8_Case3/force_disp_Test_287.csv,curve_classifier_pseudo_label,0.7666666666666667,medium
Case3,6x8_288,37.0,70.0,8722.215526615664,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_288,data/New_Data/csv_6x8_Case3/force_disp_Test_288.csv,curve_classifier_pseudo_label,0.6183333333333333,high
Case3,6x8_289,-9.0,44.0,6906.853491022047,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_289,data/New_Data/csv_6x8_Case3/force_disp_Test_289.csv,curve_classifier_pseudo_label,0.54,high
Case3,6x8_290,20.0,-82.0,7056.508461354513,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_290,data/New_Data/csv_6x8_Case3/force_disp_Test_290.csv,curve_classifier_pseudo_label,0.7633333333333333,medium
Case3,6x8_291,26.0,5.0,5777.273059932448,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_291,data/New_Data/csv_6x8_Case3/force_disp_Test_291.csv,curve_classifier_pseudo_label,0.865,low
Case3,6x8_292,71.0,-88.0,4440.792589714523,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_292,data/New_Data/csv_6x8_Case3/force_disp_Test_292.csv,curve_classifier_pseudo_label,0.76,medium
Case3,6x8_293,-28.0,11.0,6153.353974245149,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_293,data/New_Data/csv_6x8_Case3/force_disp_Test_293.csv,curve_classifier_pseudo_label,0.8366666666666667,medium
Case3,6x8_294,-71.0,-57.0,7888.013873499853,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_294,data/New_Data/csv_6x8_Case3/force_disp_Test_294.csv,curve_classifier_pseudo_label,0.8833333333333333,low
Case3,6x8_295,-84.0,-9.0,6274.695035308122,2,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_295,data/New_Data/csv_6x8_Case3/force_disp_Test_295.csv,curve_classifier_pseudo_label,0.64,high
Case3,6x8_296,-48.0,82.0,8675.147398280957,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_296,data/New_Data/csv_6x8_Case3/force_disp_Test_296.csv,curve_classifier_pseudo_label,0.5616666666666666,high
Case3,6x8_297,-13.0,-4.0,4763.426686540797,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_297,data/New_Data/csv_6x8_Case3/force_disp_Test_297.csv,curve_classifier_pseudo_label,0.8766666666666667,low
Case3,6x8_298,-19.0,-23.0,6549.298616527987,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_298,data/New_Data/csv_6x8_Case3/force_disp_Test_298.csv,curve_classifier_pseudo_label,0.825,medium
Case3,6x8_299,5.0,-32.0,6169.698890063019,3,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_299,data/New_Data/csv_6x8_Case3/force_disp_Test_299.csv,curve_classifier_pseudo_label,0.8166666666666667,medium
Case3,6x8_300,51.0,46.0,10662.987299966431,1,6.0,8.0,6x8_new_data_curve_classifier_v1,Test_300,data/New_Data/csv_6x8_Case3/force_disp_Test_300.csv,curve_classifier_pseudo_label,0.9466666666666667,low
Case3,8x8_001,65.0,19.0,5249.885931590668,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_001,data/New_data/8x8_Case3/csv/force_disp_Test_001.csv,curve_classifier_pseudo_label,0.655,high
Case3,8x8_002,40.0,-51.0,7021.8386147931415,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_002,data/New_data/8x8_Case3/csv/force_disp_Test_002.csv,curve_classifier_pseudo_label,0.5266666666666666,high
Case3,8x8_003,-44.0,65.0,6337.011177400955,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_003,data/New_data/8x8_Case3/csv/force_disp_Test_003.csv,curve_classifier_pseudo_label,0.58,high
Case3,8x8_004,49.0,48.0,7678.519114548306,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_004,data/New_data/8x8_Case3/csv/force_disp_Test_004.csv,curve_classifier_pseudo_label,0.5,high
Case3,8x8_005,-52.0,20.0,5862.340206577789,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_005,data/New_data/8x8_Case3/csv/force_disp_Test_005.csv,curve_classifier_pseudo_label,0.5683333333333334,high
Case3,8x8_006,-15.0,-74.0,4657.426772073546,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_006,data/New_data/8x8_Case3/csv/force_disp_Test_006.csv,curve_classifier_pseudo_label,0.6683333333333333,high
Case3,8x8_007,51.0,-83.0,5358.561529995737,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_007,data/New_data/8x8_Case3/csv/force_disp_Test_007.csv,curve_classifier_pseudo_label,0.4866666666666667,high
Case3,8x8_008,86.0,9.0,3983.205115277853,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_008,data/New_data/8x8_Case3/csv/force_disp_Test_008.csv,curve_classifier_pseudo_label,0.45666666666666667,high
Case3,8x8_009,-63.0,21.0,5483.825365886914,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_009,data/New_data/8x8_Case3/csv/force_disp_Test_009.csv,curve_classifier_pseudo_label,0.6833333333333333,high
Case3,8x8_010,-74.0,83.0,3176.3702391040138,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_010,data/New_data/8x8_Case3/csv/force_disp_Test_010.csv,curve_classifier_pseudo_label,0.48333333333333334,high
Case3,8x8_011,-39.0,-9.0,5553.11723712837,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_011,data/New_data/8x8_Case3/csv/force_disp_Test_011.csv,curve_classifier_pseudo_label,0.6766666666666666,high
Case3,8x8_012,-56.0,9.0,5279.982570696419,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_012,data/New_data/8x8_Case3/csv/force_disp_Test_012.csv,curve_classifier_pseudo_label,0.54,high
Case3,8x8_013,61.0,33.0,6095.091333950158,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_013,data/New_data/8x8_Case3/csv/force_disp_Test_013.csv,curve_classifier_pseudo_label,0.6716666666666666,high
Case3,8x8_014,19.0,79.0,4626.262337022605,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_014,data/New_data/8x8_Case3/csv/force_disp_Test_014.csv,curve_classifier_pseudo_label,0.795,medium
Case3,8x8_015,35.0,60.0,6236.716872559574,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_015,data/New_data/8x8_Case3/csv/force_disp_Test_015.csv,curve_classifier_pseudo_label,0.6616666666666666,high
Case3,8x8_016,75.0,-61.0,5549.9100503634645,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_016,data/New_data/8x8_Case3/csv/force_disp_Test_016.csv,curve_classifier_pseudo_label,0.785,medium
Case3,8x8_017,-30.0,66.0,5772.640630477044,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_017,data/New_data/8x8_Case3/csv/force_disp_Test_017.csv,curve_classifier_pseudo_label,0.785,medium
Case3,8x8_018,-53.0,31.0,6397.461983353669,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_018,data/New_data/8x8_Case3/csv/force_disp_Test_018.csv,curve_classifier_pseudo_label,0.69,high
Case3,8x8_019,-79.0,29.0,5027.526667669692,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_019,data/New_data/8x8_Case3/csv/force_disp_Test_019.csv,curve_classifier_pseudo_label,0.7316666666666667,medium
Case3,8x8_020,-2.0,48.0,5540.376296649255,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_020,data/New_data/8x8_Case3/csv/force_disp_Test_020.csv,curve_classifier_pseudo_label,0.5233333333333333,high
Case3,8x8_021,-49.0,-67.0,6311.469582236376,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_021,data/New_data/8x8_Case3/csv/force_disp_Test_021.csv,curve_classifier_pseudo_label,0.5283333333333333,high
Case3,8x8_022,43.0,-33.0,6874.43643120363,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_022,data/New_data/8x8_Case3/csv/force_disp_Test_022.csv,curve_classifier_pseudo_label,0.5283333333333333,high
Case3,8x8_023,62.0,-67.0,5740.128486120003,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_023,data/New_data/8x8_Case3/csv/force_disp_Test_023.csv,curve_classifier_pseudo_label,0.6783333333333333,high
Case3,8x8_024,30.0,75.0,5191.835791314596,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_024,data/New_data/8x8_Case3/csv/force_disp_Test_024.csv,curve_classifier_pseudo_label,0.7616666666666667,medium
Case3,8x8_025,80.0,-80.0,2887.943609067684,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_025,data/New_data/8x8_Case3/csv/force_disp_Test_025.csv,curve_classifier_pseudo_label,0.5183333333333333,high
Case3,8x8_026,-81.0,73.0,3332.922459357667,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_026,data/New_data/8x8_Case3/csv/force_disp_Test_026.csv,curve_classifier_pseudo_label,0.49166666666666664,high
Case3,8x8_027,54.0,-38.0,6729.771320782916,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_027,data/New_data/8x8_Case3/csv/force_disp_Test_027.csv,curve_classifier_pseudo_label,0.5583333333333333,high
Case3,8x8_028,36.0,-31.0,6907.795287186744,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_028,data/New_data/8x8_Case3/csv/force_disp_Test_028.csv,curve_classifier_pseudo_label,0.43666666666666665,high
Case3,8x8_029,52.0,-41.0,7031.28408118499,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_029,data/New_data/8x8_Case3/csv/force_disp_Test_029.csv,curve_classifier_pseudo_label,0.5116666666666667,high
Case3,8x8_030,15.0,-12.0,5420.938910714249,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_030,data/New_data/8x8_Case3/csv/force_disp_Test_030.csv,curve_classifier_pseudo_label,0.8833333333333333,low
Case3,8x8_031,-55.0,-62.0,6883.1918046711235,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_031,data/New_data/8x8_Case3/csv/force_disp_Test_031.csv,curve_classifier_pseudo_label,0.5783333333333334,high
Case3,8x8_032,-19.0,-7.0,5371.942930876189,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_032,data/New_data/8x8_Case3/csv/force_disp_Test_032.csv,curve_classifier_pseudo_label,0.87,low
Case3,8x8_033,-61.0,86.0,4858.970079266146,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_033,data/New_data/8x8_Case3/csv/force_disp_Test_033.csv,curve_classifier_pseudo_label,0.4816666666666667,high
Case3,8x8_034,-43.0,-15.0,5831.730698019243,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_034,data/New_data/8x8_Case3/csv/force_disp_Test_034.csv,curve_classifier_pseudo_label,0.5583333333333333,high
Case3,8x8_035,70.0,81.0,3633.3851980297864,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_035,data/New_data/8x8_Case3/csv/force_disp_Test_035.csv,curve_classifier_pseudo_label,0.48,high
Case3,8x8_036,8.0,25.0,5474.213299871946,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_036,data/New_data/8x8_Case3/csv/force_disp_Test_036.csv,curve_classifier_pseudo_label,0.8616666666666667,low
Case3,8x8_037,-85.0,67.0,3813.9161898024972,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_037,data/New_data/8x8_Case3/csv/force_disp_Test_037.csv,curve_classifier_pseudo_label,0.47833333333333333,high
Case3,8x8_038,-56.0,52.0,7397.043263639474,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_038,data/New_data/8x8_Case3/csv/force_disp_Test_038.csv,curve_classifier_pseudo_label,0.5683333333333334,high
Case3,8x8_039,64.0,42.0,6285.040829903519,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_039,data/New_data/8x8_Case3/csv/force_disp_Test_039.csv,curve_classifier_pseudo_label,0.555,high
Case3,8x8_040,-27.0,-54.0,6156.542507679392,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_040,data/New_data/8x8_Case3/csv/force_disp_Test_040.csv,curve_classifier_pseudo_label,0.61,high
Case3,8x8_041,-2.0,-68.0,4551.971485095972,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_041,data/New_data/8x8_Case3/csv/force_disp_Test_041.csv,curve_classifier_pseudo_label,0.49666666666666665,high
Case3,8x8_042,84.0,51.0,5348.180374441878,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_042,data/New_data/8x8_Case3/csv/force_disp_Test_042.csv,curve_classifier_pseudo_label,0.5066666666666667,high
Case3,8x8_043,79.0,-71.0,3642.6658084653036,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_043,data/New_data/8x8_Case3/csv/force_disp_Test_043.csv,curve_classifier_pseudo_label,0.5166666666666667,high
Case3,8x8_044,59.0,-56.0,7238.748159575772,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_044,data/New_data/8x8_Case3/csv/force_disp_Test_044.csv,curve_classifier_pseudo_label,0.745,medium
Case3,8x8_045,-18.0,-35.0,5928.598590199871,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_045,data/New_data/8x8_Case3/csv/force_disp_Test_045.csv,curve_classifier_pseudo_label,0.6933333333333334,high
Case3,8x8_046,-76.0,-77.0,3347.7292768776624,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_046,data/New_data/8x8_Case3/csv/force_disp_Test_046.csv,curve_classifier_pseudo_label,0.4816666666666667,high
Case3,8x8_047,42.0,27.0,6450.379956556271,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_047,data/New_data/8x8_Case3/csv/force_disp_Test_047.csv,curve_classifier_pseudo_label,0.5,high
Case3,8x8_048,1.0,71.0,4553.660200435887,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_048,data/New_data/8x8_Case3/csv/force_disp_Test_048.csv,curve_classifier_pseudo_label,0.4816666666666667,high
Case3,8x8_049,-37.0,22.0,6207.354961413228,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_049,data/New_data/8x8_Case3/csv/force_disp_Test_049.csv,curve_classifier_pseudo_label,0.5316666666666666,high
Case3,8x8_050,-16.0,44.0,5947.781685524517,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_050,data/New_data/8x8_Case3/csv/force_disp_Test_050.csv,curve_classifier_pseudo_label,0.4716666666666667,high
Case3,8x8_051,28.0,57.0,6126.628938420282,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_051,data/New_data/8x8_Case3/csv/force_disp_Test_051.csv,curve_classifier_pseudo_label,0.7116666666666667,medium
Case3,8x8_052,-79.0,34.0,5220.891009173367,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_052,data/New_data/8x8_Case3/csv/force_disp_Test_052.csv,curve_classifier_pseudo_label,0.73,medium
Case3,8x8_053,3.0,87.0,3943.115029893595,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_053,data/New_data/8x8_Case3/csv/force_disp_Test_053.csv,curve_classifier_pseudo_label,0.5083333333333333,high
Case3,8x8_054,-17.0,-44.0,5908.987445203608,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_054,data/New_data/8x8_Case3/csv/force_disp_Test_054.csv,curve_classifier_pseudo_label,0.5416666666666666,high
Case3,8x8_055,44.0,-49.0,7442.492046960056,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_055,data/New_data/8x8_Case3/csv/force_disp_Test_055.csv,curve_classifier_pseudo_label,0.4533333333333333,high
Case3,8x8_056,67.0,-19.0,5132.090918845852,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_056,data/New_data/8x8_Case3/csv/force_disp_Test_056.csv,curve_classifier_pseudo_label,0.67,high
Case3,8x8_057,2.0,74.0,4344.4968603083435,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_057,data/New_data/8x8_Case3/csv/force_disp_Test_057.csv,curve_classifier_pseudo_label,0.465,high
Case3,8x8_058,82.0,19.0,4489.293875571406,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_058,data/New_data/8x8_Case3/csv/force_disp_Test_058.csv,curve_classifier_pseudo_label,0.675,high
Case3,8x8_059,14.0,3.0,4921.611228210336,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_059,data/New_data/8x8_Case3/csv/force_disp_Test_059.csv,curve_classifier_pseudo_label,0.89,low
Case3,8x8_060,44.0,-84.0,5283.577696641293,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_060,data/New_data/8x8_Case3/csv/force_disp_Test_060.csv,curve_classifier_pseudo_label,0.5383333333333333,high
